long,lat,group,order,region,subregion
-62.39501953,-40.89081955,20,1547,Argentina,NA
-62.79799652,-41.04716873,20,1548,Argentina,NA
-62.95903015,-41.10966873,20,1549,Argentina,NA
-63.21284103,-41.15244293,20,1550,Argentina,NA
-63.62177658,-41.15976334,20,1551,Argentina,NA
-63.77299881,-41.15000153,20,1552,Argentina,NA
-64.12319183,-41.0078125,20,1553,Argentina,NA
-64.38344574,-40.92245865,20,1554,Argentina,NA
-64.62148285,-40.85449219,20,1555,Argentina,NA
-64.85298157,-40.81376648,20,1556,Argentina,NA
-64.81987762,-40.79325867,20,1557,Argentina,NA
-64.80438995,-40.75654602,20,1558,Argentina,NA
-64.86948395,-40.73583984,20,1559,Argentina,NA
-64.91690063,-40.73134995,20,1560,Argentina,NA
-65.06943512,-40.80527496,20,1561,Argentina,NA
-65.13339996,-40.88066483,20,1562,Argentina,NA
-65.15185547,-40.94697571,20,1563,Argentina,NA
-65.15497589,-41.1056633,20,1564,Argentina,NA
-65.12788391,-41.23876953,20,1565,Argentina,NA
-65.01826477,-41.56689453,20,1566,Argentina,NA
-65.00702667,-41.74511719,20,1567,Argentina,NA
-65.05908203,-41.96992111,20,1568,Argentina,NA
-64.9863739,-42.10205078,20,1569,Argentina,NA
-64.8980484,-42.16181564,20,1570,Argentina,NA
-64.6995163,-42.22080231,20,1571,Argentina,NA
-64.62245941,-42.2610321,20,1572,Argentina,NA
-64.53775024,-42.25458908,20,1573,Argentina,NA
-64.51171875,-42.27021408,20,1574,Argentina,NA
-64.5242157,-42.29921722,20,1575,Argentina,NA
-64.57411957,-42.35595703,20,1576,Argentina,NA
-64.57099915,-42.41601563,20,1577,Argentina,NA
-64.42041016,-42.4337883,20,1578,Argentina,NA
-64.26460266,-42.42168045,20,1579,Argentina,NA
-64.10088348,-42.39511871,20,1580,Argentina,NA
-64.06221008,-42.35342026,20,1581,Argentina,NA
-64.06118774,-42.26611328,20,1582,Argentina,NA
-64.25292969,-42.25078201,20,1583,Argentina,NA
-64.22851563,-42.21826172,20,1584,Argentina,NA
-64.08325195,-42.18281174,20,1585,Argentina,NA
-63.89286804,-42.12460709,20,1586,Argentina,NA
-63.79555893,-42.11386871,20,1587,Argentina,NA
-63.72948837,-42.1529274,20,1588,Argentina,NA
-63.68476486,-42.18867111,20,1589,Argentina,NA
-63.62988663,-42.28271484,20,1590,Argentina,NA
-63.59589767,-42.40654373,20,1591,Argentina,NA
-63.59443665,-42.55556488,20,1592,Argentina,NA
-63.61733246,-42.69580078,20,1593,Argentina,NA
-63.64448166,-42.74570465,20,1594,Argentina,NA
-63.69247818,-42.80527496,20,1595,Argentina,NA
-64.03476715,-42.88124847,20,1596,Argentina,NA
-64.13066101,-42.86142349,20,1597,Argentina,NA
-64.21992493,-42.75556564,20,1598,Argentina,NA
-64.24794769,-42.64609146,20,1599,Argentina,NA
-64.32427216,-42.57226563,20,1600,Argentina,NA
-64.48783875,-42.51347733,20,1601,Argentina,NA
-64.65048981,-42.53144455,20,1602,Argentina,NA
-64.81196594,-42.63320541,20,1603,Argentina,NA
-64.97070313,-42.66630936,20,1604,Argentina,NA
-65.02690125,-42.75888824,20,1605,Argentina,NA
-64.62919617,-42.90898514,20,1606,Argentina,NA
-64.44155121,-42.95068359,20,1607,Argentina,NA
-64.38037109,-42.94921875,20,1608,Argentina,NA
-64.31913757,-42.96894455,20,1609,Argentina,NA
-64.37567902,-43.02460861,20,1610,Argentina,NA
-64.43222809,-43.0591774,20,1611,Argentina,NA
-64.71523285,-43.13554764,20,1612,Argentina,NA
-64.83994293,-43.18886566,20,1613,Argentina,NA
-64.98554993,-43.2935524,20,1614,Argentina,NA
-65.18974304,-43.52207184,20,1615,Argentina,NA
-65.25234222,-43.57187271,20,1616,Argentina,NA
-65.28359985,-43.62998199,20,1617,Argentina,NA
-65.3046875,-43.78749847,20,1618,Argentina,NA
-65.23857117,-44.04872894,20,1619,Argentina,NA
-65.30839539,-44.15820313,20,1620,Argentina,NA
-65.26552582,-44.27968597,20,1621,Argentina,NA
-65.28984833,-44.36074448,20,1622,Argentina,NA
-65.36127472,-44.47734451,20,1623,Argentina,NA
-65.6476059,-44.66142654,20,1624,Argentina,NA
-65.69834137,-44.79619217,20,1625,Argentina,NA
-65.59912109,-44.87558746,20,1626,Argentina,NA
-65.60571289,-44.94501877,20,1627,Argentina,NA
-65.63876343,-45.0078125,20,1628,Argentina,NA
-65.75771332,-45.00712967,20,1629,Argentina,NA
-66.19013214,-44.96474838,20,1630,Argentina,NA
-66.34775543,-45.03359222,20,1631,Argentina,NA
-66.49360657,-45.11758041,20,1632,Argentina,NA
-66.53344727,-45.15781403,20,1633,Argentina,NA
-66.58506012,-45.18291092,20,1634,Argentina,NA
-66.88246918,-45.22763824,20,1635,Argentina,NA
-66.94140625,-45.25732422,20,1636,Argentina,NA
-67.25761414,-45.57724762,20,1637,Argentina,NA
-67.39302063,-45.77558517,20,1638,Argentina,NA
-67.55664063,-45.97011566,20,1639,Argentina,NA
-67.59955597,-46.05253983,20,1640,Argentina,NA
-67.60888672,-46.16679382,20,1641,Argentina,NA
-67.58608246,-46.26953125,20,1642,Argentina,NA
-67.56337738,-46.34540939,20,1643,Argentina,NA
-67.50644684,-46.44277191,20,1644,Argentina,NA
